




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
insulin processing (GO:0030070)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle contraction by neural stimulation via neuromuscular junction (GO:0014852)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to muscle activity (GO:0014850)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
intercellular transport (GO:0010496)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of myeloid leukocyte mediated immunity (GO:0002886)	22	0	.58	-	 < 0.01	1.00E00	1.00E00
negative regulation of chronic inflammatory response to non-antigenic stimulus (GO:0002881)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of chronic inflammatory response to non-antigenic stimulus (GO:0002880)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine methylation, to form tele-methylhistidine (GO:0042038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
post-translational protein acetylation (GO:0034421)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ureter smooth muscle contraction (GO:0014849)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
urinary tract smooth muscle contraction (GO:0014848)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
esophagus smooth muscle contraction (GO:0014846)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle satellite cell proliferation (GO:0014842)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
skeletal muscle satellite cell proliferation (GO:0014841)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
T cell anergy (GO:0002870)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
urate biosynthetic process (GO:0034418)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA endoreduplication (GO:0042023)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myoblast migration involved in skeletal muscle regeneration (GO:0014839)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
myoblast differentiation involved in skeletal muscle regeneration (GO:0014835)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration (GO:0014834)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
vesicle transport along actin filament (GO:0030050)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
urinary bladder smooth muscle contraction (GO:0014832)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
gastro-intestinal system smooth muscle contraction (GO:0014831)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of acute inflammatory response to antigenic stimulus (GO:0002866)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response to antigenic stimulus (GO:0002863)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of gastrulation (GO:0010470)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002860)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule biosynthetic process (GO:0034404)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:0034402)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
muscle filament sliding (GO:0030049)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
vascular associated smooth muscle contraction (GO:0014829)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
actin modification (GO:0030047)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
parallel actin filament bundle assembly (GO:0030046)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
intestine smooth muscle contraction (GO:0014827)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
actin filament fragmentation (GO:0030043)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
artery smooth muscle contraction (GO:0014824)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
response to activity (GO:0014823)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
tonic smooth muscle contraction (GO:0014820)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002858)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell mediated immune response to tumor cell (GO:0002857)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell mediated immune response to tumor cell (GO:0002855)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation (GO:0010463)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
positive regulation of heart rate (GO:0010460)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA replication (GO:0008156)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
neurexin clustering involved in presynaptic membrane assembly (GO:0097115)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor clustering (GO:0097113)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment organization (GO:0097111)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
carbon catabolite activation of transcription (GO:0045991)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
carbon catabolite regulation of transcription (GO:0045990)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
translocation of peptides or proteins into host (GO:0042000)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
microspike assembly (GO:0030035)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
skeletal muscle satellite cell differentiation (GO:0014816)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
microvillus assembly (GO:0030033)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
muscle cell migration (GO:0014812)	21	0	.55	-	 < 0.01	1.00E00	1.00E00
negative regulation of heart rate (GO:0010459)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
exit from mitosis (GO:0010458)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
centriole-centriole cohesion (GO:0010457)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell fate commitment (GO:0010454)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell fate commitment (GO:0010453)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
histone H3-K36 methylation (GO:0010452)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell mediated immune response to tumor cell (GO:0002842)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell mediated immune response to tumor cell (GO:0002841)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of T cell mediated immune response to tumor cell (GO:0002840)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle contraction (GO:0045988)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleotide metabolic process (GO:0045981)	26	0	.68	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleotide metabolic process (GO:0045980)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
cellular manganese ion homeostasis (GO:0030026)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle process (GO:0022410)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune response to tumor cell (GO:0002839)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
response to acidic pH (GO:0010447)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of immune response to tumor cell (GO:0002838)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of immune response to tumor cell (GO:0002837)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
response to alkaline pH (GO:0010446)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to tumor cell (GO:0002836)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to tumor cell (GO:0002835)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of response to tumor cell (GO:0002834)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
fungiform papilla formation (GO:0061198)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
fungiform papilla morphogenesis (GO:0061197)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of type 2 immune response (GO:0002830)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
fungiform papilla development (GO:0061196)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cell cycle, embryonic (GO:0045977)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
taste bud development (GO:0061193)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation, ncRNA-mediated (GO:0045975)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of translation, ncRNA-mediated (GO:0045974)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cell cycle phase (GO:0022403)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
maintenance of cell polarity (GO:0030011)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
negative adaptation of signaling pathway (GO:0022401)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of type 2 immune response (GO:0002829)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of type 2 immune response (GO:0002828)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of T-helper 1 type immune response (GO:0002827)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of T-helper 1 type immune response (GO:0002825)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribosomal DNA heterochromatin formation (GO:0061188)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of rDNA heterochromatin formation (GO:0061187)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of dermatome development (GO:0061184)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of dermatome development (GO:0061183)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of dopamine metabolic process (GO:0045964)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of chondrocyte development (GO:0061181)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of dopamine metabolic process (GO:0045963)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
mammary gland epithelium development (GO:0061180)	30	0	.79	-	 < 0.01	1.00E00	1.00E00
DNA methylation on cytosine within a CG sequence (GO:0010424)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061179)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide-mediated programmed cell death (GO:0010421)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation, classical pathway (GO:0045959)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation, alternative pathway (GO:0045957)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion-dependent exocytosis (GO:0045955)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of bipolar cell polarity (GO:0061172)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic recombination (GO:0045951)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic recombination (GO:0045950)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
response to 11-deoxycorticosterone (GO:1903496)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription by RNA polymerase III (GO:0045945)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum polarization (GO:0061163)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of monopolar cell polarity (GO:0061162)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	25	0	.66	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cytokinesis (GO:1903490)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of steroid metabolic process (GO:0045940)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNA metabolic process (GO:0033979)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of lactation (GO:1903489)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-UTR-mediated mRNA destabilization (GO:0061158)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
choline metabolic process (GO:0019695)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of lactation (GO:1903487)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alkanesulfonate metabolic process (GO:0019694)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
pulmonary artery morphogenesis (GO:0061156)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of circadian sleep/wake cycle, sleep (GO:0045938)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate metabolic process (GO:0019692)	21	0	.55	-	 < 0.01	1.00E00	1.00E00
trachea gland development (GO:0061153)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
trachea submucosa development (GO:0061152)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
box C/D RNA metabolic process (GO:0033967)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
P-body assembly (GO:0033962)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
neural plate anterior/posterior regionalization (GO:0021999)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neural plate mediolateral regionalization (GO:0021998)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neural plate axis specification (GO:0021997)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neuropore closure (GO:0021995)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
initiation of neural tube closure (GO:0021993)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neural plate formation (GO:0021990)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of female receptivity (GO:0045925)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of female receptivity (GO:0045924)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
lung ciliated cell differentiation (GO:0061141)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid metabolic process (GO:0045922)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
lung secretory cell differentiation (GO:0061140)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
olfactory cortex development (GO:0021989)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
habenula development (GO:0021986)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurohypophysis development (GO:0021985)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenohypophysis development (GO:0021984)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process, methylmalonyl pathway (GO:0019678)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD catabolic process (GO:0019677)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ammonia assimilation cycle (GO:0019676)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytolysis (GO:0045918)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD metabolic process (GO:0019674)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
GDP-mannose metabolic process (GO:0019673)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of complement activation (GO:0045917)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation (GO:0045916)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cell cycle DNA replication (GO:1903465)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of catecholamine metabolic process (GO:0045915)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of catecholamine metabolic process (GO:0045914)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle DNA replication (GO:1903463)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of carbohydrate metabolic process (GO:0045913)	49	0	1.29	-	 < 0.01	6.38E-01	1.00E00
negative regulation of carbohydrate metabolic process (GO:0045912)	29	0	.76	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA recombination (GO:0045910)	24	0	.63	-	 < 0.01	1.00E00	1.00E00
telencephalon regionalization (GO:0021978)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
corticospinal neuron axon guidance through spinal cord (GO:0021972)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lactate catabolic process (GO:1903457)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process to lactate via pyruvate (GO:0019661)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational termination (GO:0045905)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycolytic fermentation (GO:0019660)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational fidelity (GO:0045903)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of G1 to G0 transition (GO:1903451)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational elongation (GO:0045901)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of G1 to G0 transition (GO:1903450)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational elongation (GO:0045900)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
corticospinal neuron axon guidance (GO:0021966)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
spinal cord ventral commissure morphogenesis (GO:0021965)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process to lactate (GO:0019659)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
anterior commissure morphogenesis (GO:0021960)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
lung proximal/distal axis specification (GO:0061115)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein transport from ciliary membrane to plasma membrane (GO:1903445)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of brown fat cell differentiation (GO:1903444)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to ciliary membrane (GO:1903441)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
dense core granule biogenesis (GO:0061110)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
central nervous system interneuron axonogenesis (GO:0021956)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aerobic electron transport chain (GO:0019646)	47	0	1.24	-	 < 0.01	6.34E-01	1.00E00
seminal vesicle epithelium development (GO:0061108)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
seminal vesicle development (GO:0061107)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of constitutive secretory pathway (GO:1903435)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucuronate catabolic process to xylulose 5-phosphate (GO:0019640)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of constitutive secretory pathway (GO:1903433)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neuroendocrine cell differentiation (GO:0061101)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell maturation (GO:1903431)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell maturation (GO:1903430)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration (GO:0021944)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
formation of radial glial scaffolds (GO:0021943)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
radial glia guided migration of Purkinje cell (GO:0021942)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule cytoskeleton (GO:0072698)	32	0	.84	-	 < 0.01	1.00E00	1.00E00
negative regulation of cerebellar granule cell precursor proliferation (GO:0021941)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cerebellar granule cell precursor proliferation (GO:0021940)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to cell cortex (GO:0072697)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell maturation (GO:1903429)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of DNA recombination at telomere (GO:0072695)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic vesicle recycling (GO:1903422)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum tubular network (GO:1903420)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation (GO:0021938)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation (GO:0021937)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cerebellar granule cell precursor proliferation (GO:0021936)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cerebellar granule cell precursor tangential migration (GO:0021935)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hindbrain tangential cell migration (GO:0021934)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
radial glia guided migration of cerebellar granule cell (GO:0021933)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hindbrain radial glia guided cell migration (GO:0021932)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
urea metabolic process (GO:0019627)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cerebellar granule cell precursor proliferation (GO:0021930)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
T cell extravasation (GO:0072683)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to glycoside (GO:1903416)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
physiological muscle hypertrophy (GO:0003298)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
atrial ventricular junction remodeling (GO:0003294)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac septum cell differentiation (GO:0003292)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
atrial septum secundum morphogenesis (GO:0003290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cell proliferation in external granule layer (GO:0021924)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
thymocyte migration (GO:0072679)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
