




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
positive regulation of gamma-delta T cell activation (GO:0046645)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholangiocyte apoptotic process (GO:1904193)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of gamma-delta T cell activation (GO:0046643)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cholangiocyte apoptotic process (GO:1904192)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell proliferation (GO:0046642)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-17 (GO:0097398)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell proliferation (GO:0046641)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell proliferation (GO:0046640)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
response to interleukin-17 (GO:0097396)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in lung development (GO:0060916)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell differentiation involved in lung development (GO:0060915)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heart formation (GO:0060914)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
chemotaxis to arachidonic acid (GO:0034670)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate specification (GO:0060912)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate commitment (GO:0060911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell differentiation (GO:0046639)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell differentiation (GO:0046638)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell differentiation (GO:0046637)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell activation (GO:0046636)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell activation (GO:0046635)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell activation (GO:0046634)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell proliferation (GO:0046633)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell differentiation (GO:0046632)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane depolarization (GO:1904181)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation (GO:0046631)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular lipid biosynthetic process (GO:0097384)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
error-prone translesion synthesis (GO:0042276)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
error-free postreplication DNA repair (GO:0042275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage cytokine production (GO:0060907)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	1	1	.01	+	 > 100	1.66E-02	1.00E00
ncRNA catabolic process (GO:0034661)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
ncRNA metabolic process (GO:0034660)	133	0	1.12	-	 < 0.01	6.28E-01	1.00E00
positive regulation of meiosis I (GO:0060903)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic camera-type eye formation (GO:0060900)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of adipose tissue development (GO:1904179)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-delta T cell activation (GO:0046629)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of adipose tissue development (GO:1904178)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin receptor signaling pathway (GO:0046628)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of adipose tissue development (GO:1904177)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin receptor signaling pathway (GO:0046627)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of insulin receptor signaling pathway (GO:0046626)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
positive regulation of bleb assembly (GO:1904172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of organ growth (GO:0046622)	18	1	.15	+	6.60	1.48E-01	1.00E00
negative regulation of bleb assembly (GO:1904171)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of organ growth (GO:0046621)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of bleb assembly (GO:1904170)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of organ growth (GO:0046620)	41	1	.35	+	2.90	2.98E-01	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	10	1	.08	+	11.88	8.82E-02	1.00E00
regulation of cytolysis (GO:0042268)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
natural killer cell mediated cytotoxicity (GO:0042267)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
sensory neuron axon guidance (GO:0097374)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	95	0	.80	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid hydroxylation (GO:0042264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	250	0	2.10	-	 < 0.01	2.70E-01	1.00E00
intestinal cholesterol absorption (GO:0030299)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lens placode formation involved in camera-type eye formation (GO:0046619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
xenobiotic export from cell (GO:0046618)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA synthesis involved in UV-damage excision repair (GO:1904161)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of Sertoli cell barrier (GO:0097368)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mature ribosome assembly (GO:0042256)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
ribosome biogenesis (GO:0042254)	80	0	.67	-	 < 0.01	1.00E00	1.00E00
cellular macromolecule biosynthetic process (GO:0034645)	288	1	2.42	-	.41	5.14E-01	1.00E00
cellular response to UV (GO:0034644)	33	1	.28	+	3.60	2.49E-01	1.00E00
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	1051	3	8.85	-	.34	2.16E-02	1.00E00
bone mineralization (GO:0030282)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
DN4 thymocyte differentiation (GO:1904157)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of centrosome cycle (GO:0046606)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DN2 thymocyte differentiation (GO:1904155)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of centrosome cycle (GO:0046605)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of retrograde protein transport, ER to cytosol (GO:1904154)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde protein transport, ER to cytosol (GO:1904152)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of microglial cell mediated cytotoxicity (GO:1904151)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic centrosome separation (GO:0046602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of centriole replication (GO:0046601)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of microglial cell mediated cytotoxicity (GO:1904150)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole replication (GO:0046600)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of planar polarity of embryonic epithelium (GO:0042249)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to heterochromatin (GO:0097355)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine catabolic process (GO:0034638)	7	1	.06	+	16.97	6.49E-02	1.00E00
tissue regeneration (GO:0042246)	14	1	.12	+	8.48	1.18E-01	1.00E00
cellular carbohydrate biosynthetic process (GO:0034637)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
prenylation (GO:0097354)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA repair (GO:0042245)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
autophagosome maturation (GO:0097352)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
glutathione transport (GO:0034635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neutrophil clearance (GO:0097350)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ossification (GO:0030279)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of ossification (GO:0030278)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
maintenance of gastrointestinal epithelium (GO:0030277)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of microglial cell mediated cytotoxicity (GO:1904149)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of alkaline phosphatase activity (GO:0010694)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of alkaline phosphatase activity (GO:0010693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of alkaline phosphatase activity (GO:0010692)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of microglial cell migration (GO:1904141)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane permeabilization (GO:0097345)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ripoptosome assembly (GO:0097343)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA splicing (GO:0008380)	145	2	1.22	+	1.64	3.49E-01	1.00E00
zymogen inhibition (GO:0097341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibition of cysteine-type endopeptidase activity (GO:0097340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to unfolded protein (GO:0034620)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
apoptotic chromosome condensation (GO:0030263)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apoptotic nuclear changes (GO:0030262)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chromosome condensation (GO:0030261)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of microglial cell migration (GO:1904139)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to laminar fluid shear stress (GO:0034616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to reactive oxygen species (GO:0034614)	35	1	.29	+	3.39	2.61E-01	1.00E00
response to chemical (GO:0042221)	1019	9	8.58	+	1.05	8.47E-01	1.00E00
response to tumor necrosis factor (GO:0034612)	53	0	.45	-	 < 0.01	1.00E00	1.00E00
response to cocaine (GO:0042220)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
lipid glycosylation (GO:0030259)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid modification (GO:0030258)	59	0	.50	-	 < 0.01	1.00E00	1.00E00
growth hormone secretion (GO:0030252)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of cellular carbohydrate metabolic process (GO:0010675)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
response to antineoplastic agent (GO:0097327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
axon ensheathment (GO:0008366)	47	1	.40	+	2.53	3.33E-01	1.00E00
melanocyte migration (GO:0097324)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to heat (GO:0034605)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of cell size (GO:0008361)	84	1	.71	+	1.41	5.13E-01	1.00E00
terpene metabolic process (GO:0042214)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell shape (GO:0008360)	64	0	.54	-	 < 0.01	1.00E00	1.00E00
plasma membrane tubulation (GO:0097320)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
autophagy of peroxisome (GO:0030242)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial structure maintenance (GO:0010669)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell apoptotic process (GO:0010667)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to vasopressin (GO:1904117)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell apoptotic process (GO:0010666)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
response to vasopressin (GO:1904116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell apoptotic process (GO:0010665)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle cell apoptotic process (GO:0010664)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle cell apoptotic process (GO:0010663)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of striated muscle cell apoptotic process (GO:0010662)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle cell apoptotic process (GO:0010661)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
maternal determination of anterior/posterior axis, embryo (GO:0008358)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of muscle cell apoptotic process (GO:0010660)	44	1	.37	+	2.70	3.15E-01	1.00E00
L-histidine transmembrane transport (GO:0089709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
asymmetric cell division (GO:0008356)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
L-histidine transmembrane export from vacuole (GO:0089708)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
olfactory learning (GO:0008355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
germ cell migration (GO:0008354)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein kinase D signaling (GO:0089700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myofibril assembly (GO:0030239)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
male sex determination (GO:0030238)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell apoptotic process (GO:0010659)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholesterol import (GO:1904109)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
striated muscle cell apoptotic process (GO:0010658)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to ciliary inversin compartment (GO:1904108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle cell apoptotic process (GO:0010657)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle cell apoptotic process (GO:0010656)	29	1	.24	+	4.10	2.23E-01	1.00E00
cap1 mRNA methylation (GO:0097309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cell migration (GO:0008347)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein O-linked glycosylation (GO:1904100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell communication by electrical coupling (GO:0010650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to alcohol (GO:0097306)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
response to alcohol (GO:0097305)	50	0	.42	-	 < 0.01	1.00E00	1.00E00
adult locomotory behavior (GO:0008344)	53	0	.45	-	 < 0.01	1.00E00	1.00E00
adult feeding behavior (GO:0008343)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
determination of adult lifespan (GO:0008340)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
programmed necrotic cell death (GO:0097300)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex assembly (GO:0022618)	68	0	.57	-	 < 0.01	1.00E00	1.00E00
extracellular matrix disassembly (GO:0022617)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
macrophage differentiation (GO:0030225)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation (GO:0022616)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
monocyte differentiation (GO:0030224)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein to membrane docking (GO:0022615)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane to membrane docking (GO:0022614)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutrophil differentiation (GO:0030223)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	129	0	1.09	-	 < 0.01	6.27E-01	1.00E00
gland morphogenesis (GO:0022612)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
platelet formation (GO:0030220)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cell communication by electrical coupling (GO:0010649)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to environmental stimulus (GO:0104004)	88	1	.74	+	1.35	5.29E-01	1.00E00
negative regulation of cell communication (GO:0010648)	459	5	3.86	+	1.29	5.86E-01	1.00E00
positive regulation of cell communication (GO:0010647)	600	5	5.05	-	.99	1.00E00	1.00E00
regulation of cell communication (GO:0010646)	1119	13	9.42	+	1.38	1.92E-01	1.00E00
cell communication by electrical coupling (GO:0010644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of platelet-derived growth factor receptor signaling pathway (GO:0010641)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
histone mRNA metabolic process (GO:0008334)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport (GO:0008333)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
megakaryocyte differentiation (GO:0030219)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
erythrocyte differentiation (GO:0030218)	45	0	.38	-	 < 0.01	1.00E00	1.00E00
T cell differentiation (GO:0030217)	71	0	.60	-	 < 0.01	1.00E00	1.00E00
keratinocyte differentiation (GO:0030216)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cellular component assembly (GO:0022607)	708	10	5.96	+	1.68	1.14E-01	1.00E00
hyaluronan catabolic process (GO:0030214)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mammalian oogenesis stage (GO:0022605)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis (GO:0022604)	146	1	1.23	-	.81	1.00E00	1.00E00
hyaluronan biosynthetic process (GO:0030213)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hyaluronan metabolic process (GO:0030212)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	339	6	2.85	+	2.10	6.42E-02	1.00E00
ovulation cycle process (GO:0022602)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
heparin biosynthetic process (GO:0030210)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
menstrual cycle phase (GO:0022601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
digestive system process (GO:0022600)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of organelle organization (GO:0010639)	130	1	1.09	-	.91	1.00E00	1.00E00
positive regulation of organelle organization (GO:0010638)	220	0	1.85	-	 < 0.01	2.61E-01	1.00E00
negative regulation of mitochondrial fusion (GO:0010637)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial fusion (GO:0010636)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial fusion (GO:0010635)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell migration (GO:0010634)	61	2	.51	+	3.89	9.66E-02	1.00E00
negative regulation of epithelial cell migration (GO:0010633)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell migration (GO:0010632)	90	2	.76	+	2.64	1.79E-01	1.00E00
epithelial cell migration (GO:0010631)	35	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of extent of cell growth (GO:0061387)	48	0	.40	-	 < 0.01	1.00E00	1.00E00
closure of optic fissure (GO:0061386)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heart trabecula morphogenesis (GO:0061384)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
trabecula morphogenesis (GO:0061383)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate biosynthetic process (GO:0030208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate catabolic process (GO:0030207)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate biosynthetic process (GO:0030206)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate metabolic process (GO:0030205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate metabolic process (GO:0030204)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
heparin metabolic process (GO:0030202)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan metabolic process (GO:0030201)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan catabolic process (GO:0030200)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene expression (GO:0010629)	346	0	2.91	-	 < 0.01	1.14E-01	1.00E00
positive regulation of gene expression (GO:0010628)	391	2	3.29	-	.61	7.69E-01	1.00E00
negative regulation of Schwann cell proliferation (GO:0010626)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of Schwann cell proliferation (GO:0010625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell proliferation (GO:0010624)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
programmed cell death involved in cell development (GO:0010623)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription by transcription factor localization (GO:0010621)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammary gland lobule development (GO:0061377)	6	1	.05	+	19.80	5.70E-02	1.00E00
mammillary axonal complex development (GO:0061373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
determination of heart left/right asymmetry (GO:0061371)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle adaptation (GO:0010616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle adaptation (GO:0010615)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle hypertrophy (GO:0010614)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle hypertrophy (GO:0010613)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle adaptation (GO:0010612)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle hypertrophy (GO:0010611)	35	0	.29	-	 < 0.01	1.00E00	1.00E00
tarsal gland development (GO:1903699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
